,billing_entity,n_steps_in,n_steps_out
0,AHPN,57,3
1,All Adventist W,57,3
2,San Joaquin Clinics,57,3
3,Adventist Medical Center - Reedley,57,3
4,Central Valley Network Clinics,57,3
5,Sonora Regional Medical Center,57,3
6,San Joaquin Community Hospital,57,3
7,Sonora Clinics,57,3
8,Adventist Medical Center - Hanford and Selma,57,3
9,Glendale Adventist Medical Center,53,3
10,Tillamook Regional Medical Center,46,3
11,White Memorial Medical Center,53,3
12,Castle Medical Center,46,3
13,AHPN Simi,53,3
14,AHPN Glendale,53,3
15,Simi Valley Hospital,53,3
16,White Memorial Clinics,53,3
17,Glendale Clinics,53,3
18,Feather River Clinics,49,3
19,St. Helena Hospital Napa Valley,49,3
20,Feather River Hospital,49,3
21,AHPN Ukiah,49,3
22,Frank R. Howard Memorial Hospital,50,3
23,St. Helena Clear Lake Clinics,49,3
24,St. Helena Hospital Center Clear Lake,50,3
25,Ukiah Valley Medical Center,49,3
26,AHPN Napa Valley,49,3
27,St. Helena Napa Valley Clinics,49,3
28,Ukiah Valley Clinics,49,3
29,AHPN Clear Lake,49,3
30,Adventist Medical Center - Portland,46,3
31,Frank R Howard Clinics,44,3
32,AHPN White,38,3
33,Castle Physician Network Clinics,41,3
34,AHPN Sonora,32,3
35,Lodi Memorial Hospital,33,3
36,Castle RHC Clinics,31,3
37,Lodi Memorial Rural Health Clinics,33,3
38,Lodi Memorial Hospital Based Clinics,33,3
39,AHPN Lodi,33,3
40,Lodi Memorial Community Clinics,33,3
41,Lodi MSO Lampa,33,3
42,Lodi MSO Mark Lloyd Hoff,33,3
43,Adventist Health Tehachapi Valley RHC Clinics,13,3
44,Adventist Health Tehachapi Valley,13,3
